sid;owner_name;owner_passportNum;owner_TIN(SSN);owner_email;owner_phone;property_type;property_area(square feet);property_location;property_distanceFromCenter (miles);property_numberBedrooms;property_numberBathrooms;property_pnumParking;property_centralHeating;property_airconditioned;property_basement;property_loft;property_sunExposure;property_requested_sale_rent_price;property_sale_rent_price (USD);commission(%);contract_duration(months);property_dateAnnounceRequest;property_dateofSale;type_business;store_ID;store_name;store_location;store_phonenumber;store_emailAddress
23;Kaia KELLY;711111133;111-11-0022;KaiaKELLY2155@yahoo.com;907-488-1441;house;1795;1127 John Kalinas Rd,  NORTH POLE, AK, 99712;3;3;2;2;Y;Y;Y;Y;S;225000;217126;5;NA;11/01/2001;19/01/2001;sale;1;North Pole;71 ST. NICHOLAS DRIVE, NORTH POLE, FAIRBANKS NORTH STAR,Â  AK, 99705;907-488-4800;northpole@realstateUSA.com
24;Imogen NEILSON;711111134;111-11-0023;ImogenNEILSON2155@hotmail.com;907-488-1442;apartment;1060;1128 John Kalinas Rd,  NORTH POLE, AK, 99712;38;3;2;2;Y;Y;N;N;E;1500;1500;7;6;11/01/2001;19/01/2001;rent;1;North Pole;71 ST. NICHOLAS DRIVE, NORTH POLE, FAIRBANKS NORTH STAR,Â  AK, 99705;907-488-4800;northpole@realstateUSA.com
25;Matilda GILLIES;711111135;111-11-0024;MatildaGILLIES2155@hotmail.com;907-488-1443;house;1060;1129 John Kalinas Rd,  NORTH POLE, AK, 99712;40;3;2;1;Y;Y;Y;N;W;149000;142947;5;NA;11/01/2001;26/01/2001;sale;1;North Pole;71 ST. NICHOLAS DRIVE, NORTH POLE, FAIRBANKS NORTH STAR,Â  AK, 99705;907-488-4800;northpole@realstateUSA.com
26;Eliza MACBEAN;711111136;111-11-0025;ElizaMACBEAN2155@gmail.com;907-488-1444;house;1600;1130 John Kalinas Rd,  NORTH POLE, AK, 99712;7;3;2;3;Y;Y;Y;N;N;251300;243652;5;NA;11/01/2001;08/02/2001;sale;1;North Pole;71 ST. NICHOLAS DRIVE, NORTH POLE, FAIRBANKS NORTH STAR,Â  AK, 99705;907-488-4800;northpole@realstateUSA.com
27;Phoebe COVENTRY;711111137;111-11-0026;PhoebeCOVENTRY2155@hotmail.com;907-488-1445;land;900;John Kalinas Rd,  NORTH POLE, AK, 99712;24;NA;NA;NA;NA;NA;NA;NA;NA;90000;80000;5;NA;11/01/2001;06/02/2001;sale;1;North Pole;71 ST. NICHOLAS DRIVE, NORTH POLE, FAIRBANKS NORTH STAR,Â  AK, 99705;907-488-4800;northpole@realstateUSA.com
28;Poppy BRIGGS;711111138;111-11-0027;PoppyBRIGGS2155@hotmail.com;907-488-1446;house;1704;1132 John Kalinas Rd,  NORTH POLE, AK, 99712;29;3;3;3;Y;Y;Y;Y;W;301000;299885;5;NA;11/01/2001;03/02/2001;sale;1;North Pole;71 ST. NICHOLAS DRIVE, NORTH POLE, FAIRBANKS NORTH STAR,Â  AK, 99705;907-488-4800;northpole@realstateUSA.com
29;Victoria MEIGHAN;711111139;111-11-0028;VictoriaMEIGHAN2155@yahoo.com;907-488-1447;house;1600;1133 John Kalinas Rd,  NORTH POLE, AK, 99712;52;2;2;1;Y;Y;Y;Y;N;202500;200700;5;NA;11/01/2001;26/01/2001;sale;1;North Pole;71 ST. NICHOLAS DRIVE, NORTH POLE, FAIRBANKS NORTH STAR,Â  AK, 99705;907-488-4800;northpole@realstateUSA.com
30;Riley LAING;711111140;111-11-0029;RileyLAING2155@hotmail.com;907-488-1448;house;520;1134 John Kalinas Rd,  NORTH POLE, AK, 99712;23;1;1;1;Y;N;Y;N;N;63500;61234;5;NA;12/01/2001;12/01/2001;sale;1;North Pole;71 ST. NICHOLAS DRIVE, NORTH POLE, FAIRBANKS NORTH STAR,Â  AK, 99705;907-488-4800;northpole@realstateUSA.com
31;Emma BARKER;711111141;111-11-0030;EmmaBARKER2155@gmail.com;907-488-1449;house;1317;1135 John Kalinas Rd,  NORTH POLE, AK, 99712;30;3;1;1;Y;N;Y;N;S;35000;26933;5;NA;12/01/2001;31/01/2001;sale;1;North Pole;71 ST. NICHOLAS DRIVE, NORTH POLE, FAIRBANKS NORTH STAR,Â  AK, 99705;907-488-4800;northpole@realstateUSA.com
32;Riley HALE;711111142;111-11-0031;RileyHALE2155@gmail.com;907-488-1450;house;1228;1136 John Kalinas Rd,  NORTH POLE, AK, 99712;50;3;2;1;Y;Y;Y;N;S;144350;139537;5;NA;12/01/2001;05/02/2001;sale;1;North Pole;71 ST. NICHOLAS DRIVE, NORTH POLE, FAIRBANKS NORTH STAR,Â  AK, 99705;907-488-4800;northpole@realstateUSA.com
33;Lilly DOIG;711111143;111-11-0032;LillyDOIG2155@gmail.com;907-488-1451;house;1234;1137 John Kalinas Rd,  NORTH POLE, AK, 99712;21;3;2;2;Y;Y;Y;Y;E;174900;172574;5;NA;12/01/2001;12/02/2001;sale;1;North Pole;71 ST. NICHOLAS DRIVE, NORTH POLE, FAIRBANKS NORTH STAR,Â  AK, 99705;907-488-4800;northpole@realstateUSA.com
34;Willow MCSHERRY;711111144;111-11-0033;WillowMCSHERRY2155@gmail.com;907-488-1452;house;1700;1138 John Kalinas Rd,  NORTH POLE, AK, 99712;43;4;3;2;Y;Y;Y;Y;W;160500;153590;5;NA;12/01/2001;22/01/2001;sale;1;North Pole;71 ST. NICHOLAS DRIVE, NORTH POLE, FAIRBANKS NORTH STAR,Â  AK, 99705;907-488-4800;northpole@realstateUSA.com
35;Quinn COLLINS;711111145;111-11-0034;QuinnCOLLINS2155@gmail.com;907-488-1453;house;1561;1139 John Kalinas Rd,  NORTH POLE, AK, 99712;9;2;3;2;Y;Y;Y;N;N;272500;263790;5;NA;12/01/2001;16/01/2001;sale;1;North Pole;71 ST. NICHOLAS DRIVE, NORTH POLE, FAIRBANKS NORTH STAR,Â  AK, 99705;907-488-4800;northpole@realstateUSA.com
36;Sarah STILL;711111146;111-11-0035;SarahSTILL2155@yahoo.com;907-488-1454;house;2452;1140 John Kalinas Rd,  NORTH POLE, AK, 99712;20;4;4;3;Y;Y;Y;N;E;304000;303935;5;NA;12/01/2001;07/02/2001;sale;1;North Pole;71 ST. NICHOLAS DRIVE, NORTH POLE, FAIRBANKS NORTH STAR,Â  AK, 99705;907-488-4800;northpole@realstateUSA.com
37;Addison WOODS;711111147;111-11-0036;AddisonWOODS2155@hotmail.com;907-488-1455;house;1097;1141 John Kalinas Rd,  NORTH POLE, AK, 99712;7;3;2;2;Y;Y;Y;N;W;140000;130362;5;NA;12/01/2001;25/01/2001;sale;1;North Pole;71 ST. NICHOLAS DRIVE, NORTH POLE, FAIRBANKS NORTH STAR,Â  AK, 99705;907-488-4800;northpole@realstateUSA.com
38;Alexis AHMAD;711111148;111-11-0037;AlexisAHMAD2155@yahoo.com;907-488-1456;house;1297;1142 John Kalinas Rd,  NORTH POLE, AK, 99712;23;3;2;2;Y;Y;Y;Y;N;148000;145673;5;NA;12/01/2001;05/02/2001;sale;1;North Pole;71 ST. NICHOLAS DRIVE, NORTH POLE, FAIRBANKS NORTH STAR,Â  AK, 99705;907-488-4800;northpole@realstateUSA.com
39;Ava MEIGHAN;711111149;111-11-0038;AvaMEIGHAN2155@gmail.com;907-488-1457;house;1057;1143 John Kalinas Rd,  NORTH POLE, AK, 99712;21;3;2;1;Y;Y;Y;Y;N;104000;98595;5;NA;12/01/2001;17/01/2001;sale;1;North Pole;71 ST. NICHOLAS DRIVE, NORTH POLE, FAIRBANKS NORTH STAR,Â  AK, 99705;907-488-4800;northpole@realstateUSA.com
40;Elsie BRASH;711111150;111-11-0039;ElsieBRASH2155@yahoo.com;907-488-1458;house;1152;1144 John Kalinas Rd,  NORTH POLE, AK, 99712;13;2;2;0;Y;N;N;N;S;77000;70466;5;NA;12/01/2001;24/01/2001;sale;1;North Pole;71 ST. NICHOLAS DRIVE, NORTH POLE, FAIRBANKS NORTH STAR,Â  AK, 99705;907-488-4800;northpole@realstateUSA.com
41;Bella NESBITT;711111151;111-11-0040;BellaNESBITT2155@gmail.com;907-488-1459;house;1324;1145 John Kalinas Rd,  NORTH POLE, AK, 99712;12;3;2;2;Y;Y;Y;N;S;155000;150434;5;NA;12/01/2001;12/02/2001;sale;1;North Pole;71 ST. NICHOLAS DRIVE, NORTH POLE, FAIRBANKS NORTH STAR,Â  AK, 99705;907-488-4800;northpole@realstateUSA.com
42;Scarlett DAVIDSON;711111152;111-11-0041;ScarlettDAVIDSON2155@yahoo.com;907-488-1460;house;1328;1146 John Kalinas Rd,  NORTH POLE, AK, 99712;51;2;3;1;Y;Y;Y;N;E;165000;163855;5;NA;12/01/2001;31/01/2001;sale;1;North Pole;71 ST. NICHOLAS DRIVE, NORTH POLE, FAIRBANKS NORTH STAR,Â  AK, 99705;907-488-4800;northpole@realstateUSA.com
43;Maia PRICE;711111153;111-11-0042;MaiaPRICE2155@hotmail.com;907-488-1461;house;884;1147 John Kalinas Rd,  NORTH POLE, AK, 99712;0;2;2;2;Y;Y;Y;Y;W;139000;137808;5;NA;12/01/2001;05/02/2001;sale;1;North Pole;71 ST. NICHOLAS DRIVE, NORTH POLE, FAIRBANKS NORTH STAR,Â  AK, 99705;907-488-4800;northpole@realstateUSA.com
44;Emilia MACKENZIE;711111154;111-11-0043;EmiliaMACKENZIE2155@hotmail.com;907-488-1462;house;938;1148 John Kalinas Rd,  NORTH POLE, AK, 99712;55;3;2;1;Y;Y;Y;Y;N;125250;117106;5;NA;13/01/2001;22/01/2001;sale;1;North Pole;71 ST. NICHOLAS DRIVE, NORTH POLE, FAIRBANKS NORTH STAR,Â  AK, 99705;907-488-4800;northpole@realstateUSA.com
45;Sophia KILPATRICK;711111155;111-11-0044;SophiaKILPATRICK2155@hotmail.com;907-488-1463;house;1150;1149 John Kalinas Rd,  NORTH POLE, AK, 99712;44;3;2;1;Y;Y;Y;N;E;136000;132275;5;NA;13/01/2001;25/01/2001;sale;1;North Pole;71 ST. NICHOLAS DRIVE, NORTH POLE, FAIRBANKS NORTH STAR,Â  AK, 99705;907-488-4800;northpole@realstateUSA.com
46;Eleanor ROY;711111156;111-11-0045;EleanorROY2155@yahoo.com;907-488-1464;house;1752;1150 John Kalinas Rd,  NORTH POLE, AK, 99712;58;2;3;2;Y;Y;Y;N;W;314900;308684;5;NA;13/01/2001;02/02/2001;sale;1;North Pole;71 ST. NICHOLAS DRIVE, NORTH POLE, FAIRBANKS NORTH STAR,Â  AK, 99705;907-488-4800;northpole@realstateUSA.com
47;Nina WOTHERSPOON;711111157;111-11-0046;NinaWOTHERSPOON2155@hotmail.com;907-488-1465;house;2149;1151 John Kalinas Rd,  NORTH POLE, AK, 99712;10;1;3;2;Y;Y;Y;N;N;234686;225584;5;NA;13/01/2001;27/01/2001;sale;1;North Pole;71 ST. NICHOLAS DRIVE, NORTH POLE, FAIRBANKS NORTH STAR,Â  AK, 99705;907-488-4800;northpole@realstateUSA.com
48;Olivia MCGARRITY;711111158;111-11-0047;OliviaMCGARRITY2155@yahoo.com;907-488-1466;house;1656;1152 John Kalinas Rd,  NORTH POLE, AK, 99712;23;3;2;3;Y;Y;Y;Y;N;244700;240705;5;NA;13/01/2001;05/02/2001;sale;1;North Pole;71 ST. NICHOLAS DRIVE, NORTH POLE, FAIRBANKS NORTH STAR,Â  AK, 99705;907-488-4800;northpole@realstateUSA.com
49;Mila FENTON;711111159;111-11-0048;MilaFENTON2155@hotmail.com;907-488-1467;house;1452;1153 John Kalinas Rd,  NORTH POLE, AK, 99712;7;2;2;0;Y;Y;Y;Y;S;108000;103217;5;NA;13/01/2001;07/02/2001;sale;1;North Pole;71 ST. NICHOLAS DRIVE, NORTH POLE, FAIRBANKS NORTH STAR,Â  AK, 99705;907-488-4800;northpole@realstateUSA.com
50;Alexis NICHOLLS;711111160;111-11-0049;AlexisNICHOLLS2155@gmail.com;907-488-1468;house;955;1154 John Kalinas Rd,  NORTH POLE, AK, 99712;6;3;2;1;Y;Y;Y;N;S;122000;115082;5;NA;13/01/2001;09/02/2001;sale;1;North Pole;71 ST. NICHOLAS DRIVE, NORTH POLE, FAIRBANKS NORTH STAR,Â  AK, 99705;907-488-4800;northpole@realstateUSA.com
51;Maia BLACKLOCK;711111161;111-11-0050;MaiaBLACKLOCK2155@yahoo.com;907-488-1469;house;1470;1155 John Kalinas Rd,  NORTH POLE, AK, 99712;17;3;3;2;Y;Y;Y;N;E;172000;166097;5;NA;13/01/2001;27/01/2001;sale;1;North Pole;71 ST. NICHOLAS DRIVE, NORTH POLE, FAIRBANKS NORTH STAR,Â  AK, 99705;907-488-4800;northpole@realstateUSA.com
52;Ava CARGILL;711111162;111-11-0051;AvaCARGILL2155@hotmail.com;907-488-1470;house;1176;1156 John Kalinas Rd,  NORTH POLE, AK, 99712;8;3;1;2;Y;Y;Y;N;W;109500;103937;5;NA;13/01/2001;27/01/2001;sale;1;North Pole;71 ST. NICHOLAS DRIVE, NORTH POLE, FAIRBANKS NORTH STAR,Â  AK, 99705;907-488-4800;northpole@realstateUSA.com
53;Heidi WEBBER;711111163;111-11-0052;HeidiWEBBER2155@yahoo.com;907-488-1471;house;816;1157 John Kalinas Rd,  NORTH POLE, AK, 99712;14;2;2;2;Y;N;Y;Y;N;105000;100969;5;NA;13/01/2001;17/01/2001;sale;1;North Pole;71 ST. NICHOLAS DRIVE, NORTH POLE, FAIRBANKS NORTH STAR,Â  AK, 99705;907-488-4800;northpole@realstateUSA.com
54;Hazel LECKIE;711111164;111-11-0053;HazelLECKIE2155@gmail.com;907-488-1472;house;1842;1158 John Kalinas Rd,  NORTH POLE, AK, 99712;62;0;3;3;Y;Y;Y;Y;E;380000;374465;5;NA;13/01/2001;17/01/2001;sale;1;North Pole;71 ST. NICHOLAS DRIVE, NORTH POLE, FAIRBANKS NORTH STAR,Â  AK, 99705;907-488-4800;northpole@realstateUSA.com
55;Emilia MENZIES;711111165;111-11-0054;EmiliaMENZIES2155@gmail.com;907-488-1473;house;1360;1159 John Kalinas Rd,  NORTH POLE, AK, 99712;41;3;1;2;Y;Y;Y;N;W;125000;120920;5;NA;13/01/2001;18/01/2001;sale;1;North Pole;71 ST. NICHOLAS DRIVE, NORTH POLE, FAIRBANKS NORTH STAR,Â  AK, 99705;907-488-4800;northpole@realstateUSA.com
56;Bella MCWILLIAMS;711111166;111-11-0055;BellaMCWILLIAMS2155@hotmail.com;907-488-1474;house;1425;1160 John Kalinas Rd,  NORTH POLE, AK, 99712;15;3;2;2;Y;Y;Y;N;N;175500;171357;5;NA;13/01/2001;06/02/2001;sale;1;North Pole;71 ST. NICHOLAS DRIVE, NORTH POLE, FAIRBANKS NORTH STAR,Â  AK, 99705;907-488-4800;northpole@realstateUSA.com
57;Ava GREENHORN;711111167;111-11-0056;AvaGREENHORN2155@yahoo.com;907-488-1475;house;1739;1161 John Kalinas Rd,  NORTH POLE, AK, 99712;66;3;4;2;Y;Y;Y;N;N;167500;159007;5;NA;13/01/2001;29/01/2001;sale;1;North Pole;71 ST. NICHOLAS DRIVE, NORTH POLE, FAIRBANKS NORTH STAR,Â  AK, 99705;907-488-4800;northpole@realstateUSA.com
58;Eleanor MILLS;711111168;111-11-0057;EleanorMILLS2155@yahoo.com;907-488-1476;house;1720;1162 John Kalinas Rd,  NORTH POLE, AK, 99712;32;3;3;2;Y;Y;Y;Y;S;191500;189746;5;NA;13/01/2001;29/01/2001;sale;1;North Pole;71 ST. NICHOLAS DRIVE, NORTH POLE, FAIRBANKS NORTH STAR,Â  AK, 99705;907-488-4800;northpole@realstateUSA.com
59;Quinn MACASKILL;711111169;111-11-0058;QuinnMACASKILL2155@gmail.com;907-488-1477;house;2945;1163 John Kalinas Rd,  NORTH POLE, AK, 99712;48;3;4;3;Y;Y;Y;Y;S;433780;430465;5;NA;15/01/2001;15/01/2001;sale;1;North Pole;71 ST. NICHOLAS DRIVE, NORTH POLE, FAIRBANKS NORTH STAR,Â  AK, 99705;907-488-4800;northpole@realstateUSA.com
60;Charlie TRAILL;711111170;111-11-0059;CharlieTRAILL2155@yahoo.com;907-488-1478;house;780;1164 John Kalinas Rd,  NORTH POLE, AK, 99712;11;2;1;1;Y;Y;Y;N;E;119900;119287;5;NA;15/01/2001;30/01/2001;sale;1;North Pole;71 ST. NICHOLAS DRIVE, NORTH POLE, FAIRBANKS NORTH STAR,Â  AK, 99705;907-488-4800;northpole@realstateUSA.com
61;Amber CAIRNS;711111171;111-11-0060;AmberCAIRNS2155@yahoo.com;907-488-1479;house;1158;1165 John Kalinas Rd,  NORTH POLE, AK, 99712;13;3;3;2;Y;Y;Y;N;W;153000;150375;5;NA;15/01/2001;03/02/2001;sale;1;North Pole;71 ST. NICHOLAS DRIVE, NORTH POLE, FAIRBANKS NORTH STAR,Â  AK, 99705;907-488-4800;northpole@realstateUSA.com
62;Lilly KIRK;711111172;111-11-0061;LillyKIRK2155@yahoo.com;907-488-1480;house;1111;1166 John Kalinas Rd,  NORTH POLE, AK, 99712;3;3;1;1;Y;N;Y;N;N;96000;94334;5;NA;15/01/2001;12/02/2001;sale;1;North Pole;71 ST. NICHOLAS DRIVE, NORTH POLE, FAIRBANKS NORTH STAR,Â  AK, 99705;907-488-4800;northpole@realstateUSA.com
63;Madison FAIRLIE;711111173;111-11-0062;MadisonFAIRLIE2155@yahoo.com;907-488-1481;house;1370;1167 John Kalinas Rd,  NORTH POLE, AK, 99712;42;2;2;2;Y;Y;Y;Y;E;197500;196967;5;NA;15/01/2001;13/02/2001;sale;1;North Pole;71 ST. NICHOLAS DRIVE, NORTH POLE, FAIRBANKS NORTH STAR,Â  AK, 99705;907-488-4800;northpole@realstateUSA.com
